Fecha, Turno, Distrito, Equipo, Calle inicio
8/21/2025,MAÑANA,1,CITYJET,PSO:MARITIMO CIUDAD DE MELILLA
8/21/2025,MAÑANA,2,CUBA 1,CL:BOLIVIA
8/21/2025,MAÑANA,2,CUBA 1,CL:BOQUERON
8/21/2025,MAÑANA,2,CUBA 1,CL:PEPOTE
8/21/2025,MAÑANA,2,CUBA 1,CL:CORAL
8/21/2025,MAÑANA,2,CUBA 1,CL:GUARRIRO
8/21/2025,MAÑANA,2,CUBA 1,CL:MENITA
8/21/2025,MAÑANA,2,CUBA 1,CL:PEPOTE
8/21/2025,MAÑANA,2,CUBA 1,CL:MENITA
8/21/2025,MAÑANA,2,CUBA 1,CL:PEPOTE
8/21/2025,MAÑANA,1,CUBA 2,CL:MAESTRANZA
8/21/2025,MAÑANA,1,CUBA 2,CL:PERIODISTA LEOVIGILDO CABALLERO GUTIERREZ
8/21/2025,MAÑANA,1,CUBA 2,PSO:REDING
8/21/2025,MAÑANA,6,CUBA 8,AV:JOSE ORTEGA Y GASSET
8/21/2025,MAÑANA,9,CUBA 8,AV:JOSE ORTEGA Y GASSET
8/21/2025,MAÑANA,11,CUBA 8,AV:JOSE ORTEGA Y GASSET
8/21/2025,MAÑANA,11,CUBA 8,CL:MAX ESTRELLA
8/21/2025,MAÑANA,6,CUBA 8,AV:JOSE ORTEGA Y GASSET
8/21/2025,MAÑANA,9,CUBA 8,AV:JOSE ORTEGA Y GASSET
8/21/2025,MAÑANA,11,CUBA 8,AV:JOSE ORTEGA Y GASSET
8/21/2025,MAÑANA,11,CUBA 8,CL:MAX ESTRELLA
8/21/2025,MAÑANA,6,CUBA 8,AV:JOSE ORTEGA Y GASSET
8/21/2025,MAÑANA,9,CUBA 8,AV:JOSE ORTEGA Y GASSET
8/21/2025,MAÑANA,11,CUBA 8,AV:JOSE ORTEGA Y GASSET
8/21/2025,MAÑANA,11,CUBA 8,CL:MAX ESTRELLA
8/21/2025,MAÑANA,1,CUBA 9,CL:CABELLO
8/21/2025,MAÑANA,1,CUBA 9,CL:CHINCHILLA
8/21/2025,MAÑANA,1,CUBA 9,CL:DOS HERMANAS
8/21/2025,MAÑANA,1,CUBA 9,CL:GAONA
8/21/2025,MAÑANA,1,CUBA 9,CL:GUERRERO
8/21/2025,MAÑANA,1,CUBA 9,CL:PARRAS
8/21/2025,MAÑANA,1,CUBA 9,CL:ALTA
8/21/2025,MAÑANA,1,CUBA 9,CL:CHINCHILLA
8/21/2025,MAÑANA,1,CUBA 9,CL:GAONA
8/21/2025,MAÑANA,1,CUBA 9,CL:GUERRERO
8/21/2025,MAÑANA,1,CUBA 9,CL:PARRAS
8/21/2025,MAÑANA,1,CUBA 9,CL:DIEGO DE SILOE
8/21/2025,MAÑANA,1,CUBA 9,CL:HUERTO DE LOS CLAVELES
8/21/2025,MAÑANA,1,CUBA 9,CL:PARRAS
8/21/2025,MAÑANA,1,CUBA 9,CL:POSTIGOS
8/21/2025,MAÑANA,1,CUBA 9,CL:OLLERIAS
8/21/2025,MAÑANA,1,CUBA 9,CL:PARRAS
8/21/2025,MAÑANA,1,CUBA 10,CL:FRAILES
8/21/2025,MAÑANA,1,CUBA 10,CL:REFINO
8/21/2025,MAÑANA,1,CUBA 10,CRRA:CAPUCHINOS
8/21/2025,MAÑANA,1,CUBA 10,CRRA:CAPUCHINOS
8/21/2025,MAÑANA,1,CUBA 10,ALMD:CAPUCHINOS
8/21/2025,MAÑANA,1,CUBA 10,AV:ROSALEDA
8/21/2025,MAÑANA,1,CUBA 10,CL:HUERTO DE LOS CLAVELES
8/21/2025,MAÑANA,1,CUBA 12,AV:COMANDANTE BENITEZ
8/21/2025,MAÑANA,1,CUBA 12,CL:TOMAS HEREDIA
8/21/2025,MAÑANA,1,CUBA 12,CL:TRINIDAD GRUND
8/21/2025,MAÑANA,1,CUBA 12,PLLO:SANTA ISABEL
8/21/2025,MAÑANA,8,CUBA 12,PLLO:SANTA ISABEL
8/21/2025,MAÑANA,10,CUBA 12,PLLO:SANTA ISABEL
8/21/2025,MAÑANA,1,CUBA 12,CL:CORDOBA
8/21/2025,MAÑANA,,HIDRO 1,BV:ADOLFO SUAREZ
8/21/2025,MAÑANA,,HIDRO 1,BV:ADOLFO SUAREZ
8/21/2025,MAÑANA,,HIDRO 1,BV:ADOLFO SUAREZ
8/21/2025,MAÑANA,,HIDRO 1,BV:ADOLFO SUAREZ
8/21/2025,MAÑANA,1,HIDRO 2,AV:INGENIERO JOSE MARIA GARNICA
8/21/2025,MAÑANA,7,HIDRO 2,AV:INGENIERO JOSE MARIA GARNICA
8/21/2025,MAÑANA,7,HIDRO 3,CL:PACIFICO
8/21/2025,MAÑANA,7,HIDRO 3,AV:VELAZQUEZ
8/21/2025,MAÑANA,8,HIDRO 3,AV:VELAZQUEZ
8/21/2025,MAÑANA,,HIDRO 3,AV:VELAZQUEZ
8/21/2025,MAÑANA,1,MINIHIDRO 1,ALMD:PRINCIPAL
8/21/2025,MAÑANA,1,MINIHIDRO 1,AV:MANUEL AGUSTIN HEREDIA
8/21/2025,MAÑANA,1,MINIHIDRO 1,CL:MOSQUERA
8/21/2025,MAÑANA,1,MINIHIDRO 1,CL:CHARLIE RIVEL
8/21/2025,MAÑANA,1,MINIHIDRO 1,CL:DON JUAN DE MALAGA
8/21/2025,MAÑANA,1,MINIHIDRO 1,CL:DUQUE DE LA VICTORIA
8/21/2025,MAÑANA,1,MINIHIDRO 1,CL:MOSQUERA
8/21/2025,MAÑANA,1,MINIHIDRO 1,CL:PITO
8/21/2025,MAÑANA,1,MINIHIDRO 1,PL:MARTIRES
8/21/2025,MAÑANA,1,MINIHIDRO 2,CL:BIEDMAS
8/21/2025,MAÑANA,1,MINIHIDRO 2,CL:EDUARDO OCON
8/21/2025,MAÑANA,1,MINIHIDRO 2,CL:GIGANTES
8/21/2025,MAÑANA,1,MINIHIDRO 2,CL:MOLINILLO DEL ACEITE
8/21/2025,MAÑANA,1,MINIHIDRO 2,CL:POSTIGO DE ARANCE
8/21/2025,MAÑANA,1,MINIHIDRO 2,PSO:DON JUAN TEMBOURY
8/21/2025,MAÑANA,1,MINIHIDRO 2,CL:BIEDMAS
